https://colleges.niche.com/argosy-university----twin-cities/rankings/,argosy university twin cities,2072,"Argosy University, Twin Cities",98
https://colleges.niche.com/argosy-university----washington/rankings/,argosy university washington,2075,"Argosy University, Washington DC",93
https://colleges.niche.com/arizona-christian-university/rankings/,arizona christian university,1376,Arizona Christian University,100
https://colleges.niche.com/arizona-state-university/rankings/,arizona state university,1096,Arizona State University,100
https://colleges.niche.com/arkansas-baptist-college/rankings/,arkansas baptist college,1287,Arkansas Baptist College,100
https://colleges.niche.com/arkansas-state-university/rankings/,arkansas state university,477,Arkansas State University,100
https://colleges.niche.com/arkansas-tech-university/rankings/,arkansas tech university,478,Arkansas Tech University,100
https://colleges.niche.com/arlington-baptist-college/rankings/,arlington baptist college,1386,Arlington Baptist College,100
https://colleges.niche.com/armstrong-atlantic-state-university/rankings/,armstrong atlantic state university,483,Armstrong Atlantic State University,100
https://colleges.niche.com/art-academy-of-cincinnati/rankings/,art academy of cincinnati,464,Art Academy of Cincinnati,100
https://colleges.niche.com/art-center-college-of-design/rankings/,art center college of design,632,Art Center College of Design,100
https://colleges.niche.com/asbury-university/rankings/,asbury university,484,Asbury University,100
https://colleges.niche.com/ashford-university/rankings/,ashford university,992,Ashford University,100
https://colleges.niche.com/ashland-university/rankings/,ashland university,1186,Ashland University,100
https://colleges.niche.com/aspen-university/rankings/,aspen university,3090,Aspen University,100
https://colleges.niche.com/assumption-college/rankings/,assumption college,23,Assumption College,100
https://colleges.niche.com/athens-state-university/rankings/,athens state university,1230,Athens State University,100
https://colleges.niche.com/atlantic-university-college/rankings/,atlantic university college,1916,Atlantic University College,100
https://colleges.niche.com/auburn-university/rankings/,auburn university,488,Auburn University,100
https://colleges.niche.com/auburn-university----montgomery/rankings/,auburn university montgomery,489,Auburn University at Montgomery,95
https://colleges.niche.com/augsburg-college/rankings/,augsburg college,1188,Augsburg College,100
https://colleges.niche.com/aurora-university/rankings/,aurora university,463,Aurora University,100
https://colleges.niche.com/austin-college/rankings/,austin college,677,Austin College,100
https://colleges.niche.com/austin-graduate-school-of-theology/rankings/,austin graduate school of theology,3173,Austin Graduate School of Theology,100
https://colleges.niche.com/austin-peay-state-university/rankings/,austin peay state university,491,Austin Peay State University,100
https://colleges.niche.com/ave-maria-university/rankings/,ave maria university,3088,Ave Maria University,100
https://colleges.niche.com/averett-university/rankings/,averett university,492,Averett University,100
https://colleges.niche.com/avila-university/rankings/,avila university,458,Avila University,100
https://colleges.niche.com/azusa-pacific-university/rankings/,azusa pacific university,662,Azusa Pacific University,100
https://colleges.niche.com/boston-college/rankings/,boston college,144,Boston College,100
https://colleges.niche.com/columbia-university/rankings/,columbia university,399,Columbia University,100
https://colleges.niche.com/drexel-university/rankings/,drexel university,407,Drexel University,100
